Years,Imports,Exports,Balance,Imports1801,Exports1801,ImportsDraft,ExportsDraft
1700,300000,180000,,300000,70000,300000,160000
1710,310000,200000,,400000,200000,400000,200000
1720,500000,210000,,600000,195000,540000,300000
1730,640000,380000,,720000,350000,650000,400000
1740,650000,500000,,800000,500000,800000,590000
1750,800000,950000,,860000,950000,880000,900000
1760,960000,1900000,,1000000,1950000,1020000,1800000
1768,1400000,3800000,,1500000,4210000,1550000,4000000
1770,1480000,4550000,3070000,1600000,4700000,1580000,4400000
1771,1430000,4630000,3200000,1620000,4820000,1585000,4340000
1772,1445000,3600000,2155000,1650000,4800000,1585000,3000000
1773,1465000,2465000,1000000,1675000,2580000,1595000,2360000
1774,1435000,3840000,2300000,1730000,2800000,1700000,3700000
1775,2065000,985000,1080000,1900000,3600000,2000000,1000000
1776,245000,1190000,945000,2050000,1700000,400000,1100000
1777,230000,1880000,1650000,1000000,1680000,400000,1800000
1778,265000,1150000,885000,265000,1950000,400000,1200000
1779,295000,1370000,1075000,125000,1350000,400000,1500000
1780,300000,1805000,1505000,135000,1570000,400000,1750000
1781,385000,1545000,1160000,195000,1900000,1,1
1782,295000,905000,610000,295000,2100000,1,1
1790,1800000,3900000,,1950000,3900000,1,1
1800,3300000,4900000,,2600000,5200000,1,1
