date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,newCasesByPublishDate,newDeaths28DaysByDeathDate,usDeath
2020-12-17,1948660,67085,35383,369,302261
2020-12-16,1913277,66716,25161,344,298823
2020-12-15,1888116,66372,18450,405,295375
2020-12-14,1869666,65967,20263,437,292404
2020-12-13,1849403,65530,18447,352,291046
2020-12-12,1830956,65178,21502,400,289552
2020-12-11,1809455,64778,21672,414,287058
2020-12-10,1787783,64364,20964,420,284309
2020-12-09,1766819,63944,16578,409,281194
2020-12-08,1750241,63535,12282,425,278030
2020-12-07,1737960,63110,14718,412,275327
2020-12-06,1723242,62698,17272,407,274030
2020-12-05,1705971,62291,15539,384,272885
2020-12-04,1690432,61907,16298,469,270405
2020-12-03,1674134,61438,14879,465,267832
2020-12-02,1659256,60973,16170,382,265007
2020-12-01,1643086,60591,13430,398,262203
2020-11-30,1629657,60193,12330,421,259697
2020-11-29,1617327,59772,12155,457,258662
2020-11-28,1605172,59315,15871,461,257839
2020-11-27,1589301,58854,16022,417,256588
2020-11-26,1574562,58437,17555,432,255196
2020-11-25,1557007,58005,18213,478,253809
2020-11-24,1538794,57527,11299,457,251529
2020-11-23,1527495,57070,15450,462,249423
2020-11-22,1512045,56608,18662,473,248565
2020-11-21,1493383,56135,19875,461,247648
2020-11-20,1473508,55674,20252,450,246094
2020-11-19,1453256,55224,22915,461,244200
2020-11-18,1430341,54763,19609,485,242180
2020-11-17,1410732,54278,20051,439,240298
2020-11-16,1390681,53839,21363,424,238736
2020-11-15,1369318,53415,24962,450,238127
2020-11-14,1344356,52965,26860,428,237419
2020-11-13,1317496,52537,27301,434,236067
2020-11-12,1290195,52103,33470,418,234763
2020-11-11,1256725,51685,22950,387,233652
2020-11-10,1233775,51298,20412,387,232073
2020-11-09,1213363,50911,21350,480,230716
2020-11-08,1192013,50431,20572,413,230136
2020-11-07,1171441,50018,24957,388,229635
2020-11-06,1146484,49630,23287,399,228503
2020-11-05,1123197,49231,24141,375,227317
2020-11-04,1099059,48856,25177,329,226162
2020-11-03,1073882,48527,20018,359,225036
2020-11-02,1053864,48168,18950,330,223511
2020-11-01,1034914,47838,23254,356,223037
2020-10-31,1011660,47482,21915,320,222639
2020-10-30,989745,47162,24405,338,221669
2020-10-29,965340,46824,23065,310,220722
2020-10-28,942275,46514,24701,283,219667
2020-10-27,917575,46231,22885,266,218622
2020-10-26,894690,45965,20890,277,217693
2020-10-25,873800,45688,19790,247,217294
2020-10-24,854010,45441,23012,213,216907
2020-10-23,830998,45228,20530,222,216010
2020-10-22,810467,45006,21242,234,215069
2020-10-21,789229,44772,26688,222,213943
2020-10-20,762542,44550,21331,194,212918
2020-10-19,741212,44356,18804,191,212088
2020-10-18,722409,44165,16982,159,211637
2020-10-17,705428,44006,16171,175,211235
2020-10-16,689257,43831,15650,147,210458
2020-10-15,673622,43684,18980,151,209564
2020-10-14,654644,43533,19724,115,208636
2020-10-13,634920,43418,17234,110,207838
2020-10-12,617688,43308,13972,112,207114
2020-10-11,603716,43196,12872,122,206829
2020-10-10,590844,43074,15166,103,206360
2020-10-09,575679,42971,13864,79,205670
2020-10-08,561815,42892,17540,92,204765
2020-10-07,544275,42800,14162,102,203777
2020-10-06,530113,42698,14542,69,202855
2020-10-05,515571,42629,12594,69,202233
2020-10-04,502978,42560,22961,60,201903
2020-10-03,480017,42500,12872,66,201530
2020-10-02,467146,42434,6968,68,200787
2020-10-01,460178,42366,6914,66,199943
2020-09-30,453264,42300,7108,57,199084
2020-09-29,446156,42243,7143,48,198024
2020-09-28,439013,42195,4044,54,197292
2020-09-27,434969,42141,5693,47,197047
2020-09-26,429277,42094,6042,39,196740
2020-09-25,423236,42055,6874,32,195866
2020-09-24,416363,42023,6634,35,195017
2020-09-23,409729,41988,6178,56,194084
2020-09-22,403551,41932,4926,39,192925
2020-09-21,398625,41893,4368,27,192066
2020-09-20,394257,41866,3899,31,191783
2020-09-19,390358,41835,4422,20,191459
2020-09-18,385936,41815,4322,23,190708
2020-09-17,381614,41792,3395,27,189807
2020-09-16,378219,41765,3991,26,188929
2020-09-15,374228,41739,3105,18,187745
2020-09-14,371125,41721,2621,21,186705
2020-09-13,368504,41700,3330,16,186300
2020-09-12,365174,41684,3497,18,185910
2020-09-11,361677,41666,3539,13,185089
2020-09-10,358138,41653,2919,13,184075
2020-09-09,355219,41640,2659,9,182919
2020-09-08,352560,41631,2460,9,181827
2020-09-07,350100,41622,2948,15,181477
2020-09-06,347152,41607,2988,8,181250
2020-09-05,344164,41599,1813,13,180802
2020-09-04,342351,41586,1940,7,179876
2020-09-03,340411,41579,1735,10,178874
