Years,Imports,Exports,Balance,
1700,300000,180000,,
1710,310000,200000,,
1720,500000,210000,,
1730,640000,380000,,
1740,650000,500000,,
1750,800000,950000,,
1760,960000,1900000,,
1768,1400000,3800000,,
1770,1480000,4550000,3070000,
1771,1430000,4630000,3200000,
1772,1445000,3600000,2155000,
1773,1465000,2465000,1000000,
1774,1435000,3840000,2300000,
1775,2065000,985000,1080000,
1776,245000,1190000,945000,
1777,230000,1880000,1650000,
1778,265000,1150000,885000,
1779,295000,1370000,1075000,
1780,300000,1805000,1505000,
1781,385000,1545000,1160000,
1782,295000,905000,610000,
1790,1800000,3900000,,
1800,3300000,4900000,,
